Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_Amazon_TestSuite,Edge Chromium 121,,,29-01-2024 23:27:10,29-01-2024 23:32:53,5m - 43.577s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_001,Edge Chromium 121,,,29-01-2024 23:27:10,29-01-2024 23:27:27,17.215s,PASSED
"openBrowser(""Amazon.in"")",Edge Chromium 121,,,29-01-2024 23:27:10,29-01-2024 23:27:19,8.612s,PASSED
maximizeWindow(),Edge Chromium 121,,,29-01-2024 23:27:19,29-01-2024 23:27:19,0.134s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_in""), 0)",Edge Chromium 121,,,29-01-2024 23:27:19,29-01-2024 23:27:20,1.117s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/div_All""), 0)",Edge Chromium 121,,,29-01-2024 23:27:20,29-01-2024 23:27:21,0.717s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_All""), 0)",Edge Chromium 121,,,29-01-2024 23:27:21,29-01-2024 23:27:21,0.279s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_Fresh""), 0)",Edge Chromium 121,,,29-01-2024 23:27:21,29-01-2024 23:27:21,0.504s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_Amazon miniTV""), 0)",Edge Chromium 121,,,29-01-2024 23:27:21,29-01-2024 23:27:22,0.282s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_Sell""), 0)",Edge Chromium 121,,,29-01-2024 23:27:22,29-01-2024 23:27:22,0.709s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_Best Sellers""), 0)",Edge Chromium 121,,,29-01-2024 23:27:22,29-01-2024 23:27:23,0.249s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_Todays Deals""), 0)",Edge Chromium 121,,,29-01-2024 23:27:23,29-01-2024 23:27:24,1.138s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_Mobiles""), 0)",Edge Chromium 121,,,29-01-2024 23:27:24,29-01-2024 23:27:24,0.600s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_Electronics""), 0)",Edge Chromium 121,,,29-01-2024 23:27:24,29-01-2024 23:27:25,0.256s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_Customer Service""), 0)",Edge Chromium 121,,,29-01-2024 23:27:25,29-01-2024 23:27:25,0.838s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_Prime""), 0)",Edge Chromium 121,,,29-01-2024 23:27:25,29-01-2024 23:27:26,0.273s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_New Releases""), 0)",Edge Chromium 121,,,29-01-2024 23:27:26,29-01-2024 23:27:27,0.813s,PASSED
"verifyElementPresent(findTestObject(""Amazon/TC_Amazon_001_Homepage/Page_Online Shopping site in India Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in/a_Gift Ideas""), 0)",Edge Chromium 121,,,29-01-2024 23:27:27,29-01-2024 23:27:27,0.260s,PASSED
closeBrowser(),Edge Chromium 121,,,29-01-2024 23:27:27,29-01-2024 23:27:27,0.241s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_002,Edge Chromium 121,,,29-01-2024 23:27:27,29-01-2024 23:27:50,22.970s,PASSED
